resume_text,category,extracted_skills,source
"Data Scientist with 4 years experience. Data Scientist with 4+ years experience in ML and Deep Learning Skills: Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Data Analysis, SQL, AWS, Pandas, NumPy, Scikit-learn, NLP, Statistical Modeling, Feature Engineering. Education: B.Tech IT.",Data Scientist,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Data Analysis, SQL, AWS, Pandas, NumPy, Scikit-learn, NLP, Statistical Modeling, Feature Engineering",real_resume
"Data Scientist with 5 years experience. Senior Data Scientist with expertise in ML pipelines and BigData Skills: Python, R, Machine Learning, TensorFlow, Keras, Spark, Hadoop, SQL, Data Visualization, Tableau, Pandas, Statistics, Deep Learning, XGBoost. Education: M.S. Data Science.",Data Scientist,"Python, R, Machine Learning, TensorFlow, Keras, Spark, Hadoop, SQL, Data Visualization, Tableau, Pandas, Statistics, Deep Learning, XGBoost",real_resume
"Web Developer with 6 years experience. Full Stack Web Developer with React and Node.js expertise Skills: JavaScript, React, Node.js, HTML, CSS, MongoDB, Express, REST API, PostgreSQL, Docker, Kubernetes, TypeScript, GraphQL, Bootstrap. Education: B.S. Computer Science.",Software Engineer,"JavaScript, React, Node.js, HTML, CSS, MongoDB, Express, REST API, PostgreSQL, Docker, Kubernetes, TypeScript, GraphQL, Bootstrap",real_resume
"Python Developer with 1 years experience. Junior Python Developer with learning attitude and teamwork skills Skills: Python, Django, Flask, SQL, Git, REST API, HTML, CSS, Problem Solving, OOP, Testing, JavaScript, FastAPI. Education: B.S. Computer Science.",Software Engineer,"Python, Django, Flask, SQL, Git, REST API, HTML, CSS, Problem Solving, OOP, Testing, JavaScript, FastAPI",real_resume
"DevOps Engineer with 7 years experience. Senior DevOps Engineer with Kubernetes and AWS expertise Skills: Docker, Kubernetes, AWS, Terraform, Linux, CI/CD, Jenkins, Git, Ansible, Prometheus, Grafana, Python, Bash, CloudFormation, Helm. Education: B.S. Information Technology.",Software Engineer,"Docker, Kubernetes, AWS, Terraform, Linux, CI/CD, Jenkins, Git, Ansible, Prometheus, Grafana, Python, Bash, CloudFormation, Helm",real_resume
"ML Engineer with 6 years experience. Machine Learning Engineer building production ML systems Skills: Python, TensorFlow, PyTorch, Machine Learning, Deep Learning, Keras, NLP, Computer Vision, Docker, AWS, Scikit-learn, BERT, Transformers, Model Serving. Education: M.S. Computer Science.",Data Scientist,"Python, TensorFlow, PyTorch, Machine Learning, Deep Learning, Keras, NLP, Computer Vision, Docker, AWS, Scikit-learn, BERT, Transformers, Model Serving",real_resume
"Backend Engineer with 5 years experience. Senior Backend Engineer with microservices and API expertise Skills: Python, Django, FastAPI, Node.js, PostgreSQL, MongoDB, Docker, Kubernetes, REST API, Microservices, System Design, AWS, Caching, Redis. Education: B.Tech IT.",Software Engineer,"Python, Django, FastAPI, Node.js, PostgreSQL, MongoDB, Docker, Kubernetes, REST API, Microservices, System Design, AWS, Caching, Redis",real_resume
"Data Analyst with 3 years experience. Data Analyst with SQL and visualization expertise Skills: SQL, Tableau, Power BI, Python, Pandas, Excel, Data Analysis, Statistics, Matplotlib, Google Analytics, Database Design, Business Intelligence, A/B Testing. Education: B.S. Statistics.",Data Analyst,"SQL, Tableau, Power BI, Python, Pandas, Excel, Data Analysis, Statistics, Matplotlib, Google Analytics, Database Design, Business Intelligence, A/B Testing",real_resume
"Data Engineer with 4 years experience. Data Engineer building ETL pipelines and data warehouses Skills: Python, Spark, Hadoop, SQL, ETL, Kafka, Airflow, Hive, Scala, Data Warehouse, Cloud Platforms, AWS, Big Data, Distributed Systems. Education: B.Tech Computer Science.",Data Engineer,"Python, Spark, Hadoop, SQL, ETL, Kafka, Airflow, Hive, Scala, Data Warehouse, Cloud Platforms, AWS, Big Data, Distributed Systems",real_resume
"Frontend Developer with 3 years experience. Frontend Developer specializing in React and responsive design Skills: JavaScript, React, HTML, CSS, Vue.js, TypeScript, Git, REST API, UI/UX, Responsive Design, Bootstrap, Material UI, GraphQL, Webpack. Education: B.S. Computer Science.",Software Engineer,"JavaScript, React, HTML, CSS, Vue.js, TypeScript, Git, REST API, UI/UX, Responsive Design, Bootstrap, Material UI, GraphQL, Webpack",real_resume
"Cloud Architect with 6 years experience. Cloud Architect designing enterprise AWS infrastructure Skills: AWS, Azure, Kubernetes, Docker, Terraform, Linux, Cloud Design, Security, Networking, Infrastructure as Code, Cloud Security, VPC, IAM, Cost Optimization. Education: M.S. Computer Science.",Cloud Architect,"AWS, Azure, Kubernetes, Docker, Terraform, Linux, Cloud Design, Security, Networking, Infrastructure as Code, Cloud Security, VPC, IAM, Cost Optimization",real_resume
"NLP Engineer with 4 years experience. NLP Engineer developing language understanding models Skills: Python, NLP, BERT, Transformers, TensorFlow, PyTorch, Deep Learning, Spacy, NLTK, Text Processing, Named Entity Recognition, Sentiment Analysis, Machine Learning. Education: B.Tech IT.",Software Engineer,"Python, NLP, BERT, Transformers, TensorFlow, PyTorch, Deep Learning, Spacy, NLTK, Text Processing, Named Entity Recognition, Sentiment Analysis, Machine Learning",real_resume
