job_id,job_title,company,job_description,required_skills,experience_years,location,salary_range
1.0,Data Scientist,TechCorp,"We are looking for a Data Scientist to build machine learning models and analyze large datasets. You will work with Python, TensorFlow, and cloud platforms to create predictive models. Build statistical models, perform feature engineering, and deploy production systems. You'll work with Big Data technologies and collaborate with engineers.","Python, Machine Learning, Deep Learning, TensorFlow, Data Analysis, Statistics, Pandas, NumPy, SQL, AWS, Scikit-learn, Data Visualization",3.0,New York,120000-160000
2.0,Machine Learning Engineer,AI Solutions,"Join our team to develop and deploy ML models in production. We need someone skilled in deep learning, NLP, and cloud deployment. Build end-to-end ML pipelines, optimize algorithms, and manage model lifecycle. Work with Docker, Kubernetes for containerization.","Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, Kubernetes, Docker, AWS, CI/CD, MLOps, Scikit-learn",4.0,San Francisco,140000-180000
3.0,Data Analyst,Finance Plus,"Analyze business data and create dashboards for decision making. Proficiency in SQL, visualization tools, and statistical analysis required. Generate insights from databases, create interactive dashboards, and present findings to stakeholders.","SQL, Data Analysis, Tableau, Power BI, Python, Pandas, Data Visualization, Statistics, Excel, Matplotlib, Data Storytelling",2.0,Boston,80000-110000
4.0,Full Stack Developer,WebDev Inc,"Design and develop web applications using modern frameworks. We use React, Node.js, and cloud technologies. Develop both frontend and backend, manage databases, and deploy applications. Work with modern JavaScript ecosystems and REST APIs.","JavaScript, React, Node.js, HTML, CSS, MongoDB, REST API, Git, Docker, Express, Responsive Design, Frontend Development",3.0,Austin,100000-130000
5.0,Backend Engineer,CloudTech,"Build scalable backend systems using Python and cloud platforms. Experience with databases, APIs, and microservices required. Design system architecture, optimize performance, and ensure security. Work with distributed systems and database optimization.","Python, Django, FastAPI, SQL, PostgreSQL, REST API, Docker, Kubernetes, AWS, Linux, Microservices, System Design",4.0,Seattle,110000-150000
6.0,AI Research Scientist,Deep Learning Lab,"Conduct research in NLP and computer vision. Publish papers and develop state-of-the-art models. Implement novel algorithms, experiment with new architectures, and contribute to academic publications. Stay updated with latest research trends.","Python, Deep Learning, TensorFlow, PyTorch, NLP, Computer Vision, Transformers, BERT, Machine Learning, Research, Optimization",5.0,Boston,130000-170000
7.0,DevOps Engineer,Cloud Solutions,"Manage infrastructure, CI/CD pipelines, and container orchestration. We use Kubernetes and cloud platforms. Automate deployments, manage cloud resources, ensure system reliability, and implement monitoring solutions.","Docker, Kubernetes, CI/CD, Jenkins, Linux, Git, Terraform, AWS, Azure, Ansible, Infrastructure as Code, Monitoring",3.0,Portland,105000-140000
8.0,Data Engineer,Big Data Corp,"Build ETL pipelines and data warehouses. Work with Spark and Hadoop for big data processing. Design data architectures, optimize data flows, and ensure data quality in production systems.","Python, Spark, Hadoop, SQL, ETL, Data Warehouse, Kafka, Hive, Scala, Cloud Platforms, Data Modeling",4.0,Mountain View,120000-160000
9.0,Frontend Developer,Creative Design,"Create beautiful and responsive user interfaces. We use React, Vue.js, and modern CSS frameworks. Design user experiences, implement interactive features, and ensure cross-browser compatibility.","JavaScript, React, HTML, CSS, Vue.js, REST API, Git, Responsive Design, UI/UX, TypeScript, Webpack",2.0,Los Angeles,90000-120000
10.0,NLP Engineer,Language AI,"Develop NLP models for text processing and understanding. Use transformers and deep learning frameworks. Build chatbots, text classifiers, and language models. Deploy NLP solutions in production.","Python, NLP, Deep Learning, TensorFlow, PyTorch, BERT, Transformers, Machine Learning, Spacy, NLTK, Text Processing",3.0,Cambridge,115000-155000
11.0,Computer Vision Engineer,Vision Tech,"Build models for image and video analysis. Experience with CNNs and computer vision frameworks. Develop object detection, image segmentation, and video processing applications.","Python, Computer Vision, Deep Learning, TensorFlow, PyTorch, CNN, OpenCV, Machine Learning, Image Processing",3.0,Palo Alto,120000-160000
12.0,Software Engineer,Tech Giants,"General software development in multiple domains. Strong fundamentals and problem-solving skills required. Build robust systems, write clean code, follow best practices, and work in agile teams.","Python, Java, C++, JavaScript, SQL, Git, Problem Solving, OOP, Data Structures, Testing, Design Patterns",2.0,Mountain View,100000-140000
13.0,Database Administrator,Data Systems,"Manage databases, optimize queries, and ensure data security. Experience with SQL and NoSQL databases. Handle backups, replication, ensure high availability, and optimize performance.","SQL, PostgreSQL, MySQL, MongoDB, Database Design, Performance Tuning, Linux, Backup, Security, Indexing, Replication",4.0,Chicago,95000-130000
14.0,Cloud Architect,Enterprise Cloud,"Design and build cloud infrastructure for enterprises. Expert knowledge of AWS, Azure, and Kubernetes. Create scalable solutions, ensure security and compliance, and optimize cloud costs.","AWS, Azure, Kubernetes, Docker, Cloud Design, Linux, Terraform, CI/CD, Security, Cloud Security, Infrastructure Design",6.0,Washington DC,140000-180000
15.0,Junior Python Developer,StartupXYZ,"Build web and data applications using Python. Good learning attitude and teamwork required. Develop backend APIs, work with databases, and contribute to product development.","Python, Django, Flask, SQL, Git, REST API, Problem Solving, HTML, CSS, Testing, Object Oriented Programming",1.0,Remote,70000-95000
16.0,Data Science Manager,Analytics Corp,"Lead a team of data scientists. Drive data strategy and oversee ML projects. Mentor team members, manage project timelines, and communicate insights to leadership.","Python, Machine Learning, Leadership, Data Strategy, Pandas, SQL, Tableau, Mentoring, Project Management, Statistics",5.0,Chicago,140000-180000
17.0,Senior ML Engineer,AI Startup,"Lead ML engineering efforts. Design ML systems, mentor junior engineers, and drive technical excellence. Work on scaling challenges and production optimization.","Python, Machine Learning, Deep Learning, PyTorch, TensorFlow, System Design, AWS, Kubernetes, Leadership, MLOps",6.0,San Francisco,160000-200000
18.0,Python Developer,Web Services,Develop web services and APIs using Python frameworks. Work with databases and cloud platforms. Build scalable microservices and ensure code quality.,"Python, Django, FastAPI, SQL, PostgreSQL, Git, REST API, Docker, Testing, Clean Code, Linux",2.0,Seattle,90000-125000
19.0,Business Intelligence Developer,Insights Ltd,Create BI dashboards and reports. Design data models for analysis. Work with business stakeholders to understand requirements.,"SQL, Tableau, Power BI, Data Warehouse, Python, Analytics, ETL, Data Modeling, Excel, Reporting",3.0,New York,95000-130000
20.0,Cybersecurity Engineer,SecureNet,Build security solutions and protect systems. Test vulnerabilities and implement security measures. Work with cloud security and network protocols.,"Python, Linux, AWS, Docker, Security, Networking, CI/CD, System Administration, Problem Solving, Cryptography",4.0,Boston,125000-165000
,Data Reporting Analyst,,"about wspc wspc is a cooperative of outstanding independent pharmacies. the leaders of wspc are seasoned independent pharmacy owners, and our staff has significant experience in the pharmacy business. our team members are at the heart of everything we do. at wspc, we are united in our responsibility to create healthier futures, and every person here is essential to our ability to deliver on that purpose. if you want to make a difference, apply today objective the data reporting analyst operates within the retail pharmacy industry and will be focused on data reporting and analysis. the data report analyst is responsible for providing timely, accurate, businessrelevant insights, reporting, and audits, including basic analysis and appropriate context to team members across the organization and memberfacing analysis when needed. reporting this position reports to the evp, project management pricing. essential functions research and understand the industry, company, and member data and trends to provide context for distributed reports. excellent workplace skills because the role involves working closely with team members across the business and must translate complex information to the business in a format that people can understand. monitor and analyze kpis to achieve the goals of the business. collecting, entering, analyzing, and interpreting business data to use in reports. maintaining databases, dashboards, and reporting software. perform regular data quality audits of multiple reports, data sources, and systems, including the ability to identify and rectify missing, bad, or anomalous data. design and develop dashboards, tools, and systems for reporting data. leverage multiple data sources across the company to create standardized and ad hoc reporting for the business operations team. create tools and reporting that provide fundamental analysis and insight into our member pharmacies and our sales and account team through reports. create new and updated existing reporting that provides fundamental analysis, conveys the wspc organizations performance historical and current and realtime value, and shows potential for additional value or benefits. training other staff on developing and presenting data contained within the reports, dashboards, and tools. other tasks and special projects as assigned. required education and experience bachelors degree or equivalent combination of education, experience, and certifications. 35 years experience working as a data analyst, report analyst, or equivalent role based on the responsibilities and qualifications cited herein. strong knowledge of microsoft office, with specific emphasis on access, excel, power query, advanced functions, and vba. knowledgeable of microsoft powerbi, including data modeling, dax, and creating visualizations. must have a basic understanding of best practices related to power bi and all related resources must be knowledgeable of sql and able to apply it to realworld problems. knowledge of the following computer programs and languages is desired python, javascript, powershell, windows scripting, html, coding ides, tableau, qlik, salesforce, adobe suite, sharepoint, languages or platforms that are similar or have similar functionality, as the aforementioned. understand fundamentals and importance of data integrity, stewardship, and governance. business competencies have an inherent interest in being involved and helping others, customerfocused excellent planning, organizational, and time management skills strong mathbased knowledge analytical and conceptual thinking interested in determining the source of a problem and finding an effective solution strong written and verbal communication ability to actively listen and communicate ideas smoothly and with confidence, written and verbally visualizing and storytelling the data findings explanation of technical concepts to nontechnical users experience creating detailed reports and giving presentations excellent documentation skills initiative to continually learn, adapt, and grow supervisory responsibility none work environment this job operates in a remote environment. the employee routinely uses standard office equipment, such as computers, phones, photocopiers, filing cabinets, and efaxes. essential physical functions while performing the duties of this position, the employee is regularly required to talk or hear. the employee must be able to listen and understand complex information, remember and convey complex information correctly, perform math, analysis, and other mental functions, maintain focus over long periods, and work extended hours on certain days. the employee frequently uses hands to finger, handle, or feel objects, tools, or controls. the employee is occasionally required to stand, walk, sit, reach with hands and arms, climb or balance, and stoop, kneel, crouch, or crawl. the employee is required to be able to travel via airplane for companysponsored events. the employee must occasionally lift andor move objects up to 25 pounds. this position requires specific vision abilities, including close vision, distance vision, color vision, peripheral vision, and the ability to adjust focus. position typeexpected hours of work this is a fulltime position with at least 40 hours a week. it regularly requires long hours and possibly weekend work. remote position, preferably someone on the west coast. please, no phone calls or emails about the position. job type fulltime pay 69,500.00 87,000.00 per year benefits dental insurance disability insurance health insurance health savings account life insurance paid holidays paid time off retirement plan vision insurance work from home application questions have you been a data analyst before have you worked with power bi do you have experience in python do you have experience in sql are you an expert in microsoft access and excel work location remote",,,,
,Data Analyst (Power BI/Python),,"data analyst power bipython employment type full time onsite 4 days annexa inc is currently working with the department of licensing and consumer protection dlcp and we are looking for an experienced and versatile project manager to help manage complex technology projects and products from initiation to completion and to play a key role in utilizing data to identify problems risks, design solutions, and monitor their effectiveness. responsibilities leads team on large projects or significant segment of large complex projects. analyzes new and complex project related problems and creates innovative solutions involving finance, scheduling, technology, methodology, tools, and solution components. provides applications systems analysis and programming activities for a government site, facility, or multiple locations. prepares long and shortrange plans for application selection, systems development, systems maintenance, and production activities and for necessary support resources. oversees all aspects of projects. required skills expertise in excel, power bitableau, python, and sql to collect, manipulate, and interpret data advanced experience in building analytical dashboards to support informed decision making experience designing and conducting data analysis projects and needs assessments to gather insights and identify opportunities for improvement. strong understanding of statistical methods and analytical principles. ability to effectively communicate data insights to both technical and nontechnical audiences. experience in managing it systems andor improvement efforts of it systems strong quality assurance, data validation, and testing capabilities experience in the role of project manager for technical projects using formal project management methodologies traditional waterfall, agile, etc. strong communication, collaboration and stakeholder management skills. coordinate with crossfunctional project teams, and senior leaders, monitoring, and evaluation throughout the project lifecycle. develop and manage project timelines, forecasting requirements. delays and optimizing resource allocation. bachelors degree preferably in computer science, information technology, or a related field advanced degree preferred. professional certification in project management e.g., pmp, prince2, scrum master is highly desirable. minimum of 5 years of experience in project management, preferably in it or technologyrelated domains. proven track record in leading complex projects from inception to successful delivery. strong analytical and quality assurance skills, with the ability to interpret complex data and present findings clearly. excellent communication and interpersonal skills, with the ability to collaborate effectively with crossfunctional teams. 1115 yrs. developing project scopes and plans 1115 yrs. managing and tracking program progress against the project plan in an enterprise environment 1115 yrs. preparing status reports 1115 yrs. experience with ms project or similar project planning software 13 yrs experience in managing it systems andor improvement efforts of it systems bachelors degree in it or related field or equivalent experience or a current pmp certification desired skills 11 yrs expertise in excel, power bitableau, python, and sql to collect, manipulate, interpret data advanced experience in building analytical dashboard. 13 yrs develop and manage project timelines and forecasting requirements. delays and optimizing resource allocation. 11 yrs proven track record in leading complex projects from inception to successful delivery. 11 yrs coordinate with crossfunctional project teams, and senior leaders, monitoring, and evaluation throughout the project lifecycle. 11 yrs strong communication, collaboration and stakeholder management skills. 11 yrs strong analytical and quality assurance skills, with the ability to interpret complex data and present findings clearly.",,,,
